epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64301,2.80452,23.0175,2.10192,0.00135,0.10109,0.00635,0.00184,2.18359,22.9122,1.60695,3.334e-05,3.334e-05,3.334e-05
2,17.0827,2.9018,22.3028,2.21874,0.00138,0.10109,0.00812,0.00238,2.1092,22.6387,1.53184,8.29374e-05,8.29374e-05,8.29374e-05
3,24.1758,2.8995,22.9729,1.83976,0.0014,0.10109,0.01458,0.00431,2.03493,22.4131,1.47161,0.00013204,0.00013204,0.00013204
4,31.0825,2.54729,22.1011,1.9858,0.00195,0.10219,0.01176,0.00347,1.98044,22.1118,1.40877,0.000180647,0.000180647,0.000180647
5,38.8065,2.82094,21.5115,1.7667,0.00251,0.10328,0.00344,0.00088,1.86105,22.0783,1.36606,0.000228759,0.000228759,0.000228759
6,46.6599,2.70752,20.4135,1.55151,0.00074,0.1,0.00517,0.00207,1.8024,22.0562,1.35162,0.000276376,0.000276376,0.000276376
7,54.6176,2.31924,19.4537,1.71922,0.00133,0.10109,0.01144,0.00277,1.79943,22.1758,1.39526,0.000323498,0.000323498,0.000323498
8,60.4993,2.18121,19.0794,1.7872,0.00134,0.10109,0.00197,0.00036,1.87905,22.0458,1.47997,0.000370125,0.000370125,0.000370125
9,68.0284,2.14338,17.1127,1.50627,0.00134,0.10109,0.00197,0.00036,1.87905,22.0458,1.47997,0.000416257,0.000416257,0.000416257
10,76.1655,2.10716,17.7378,1.6123,0.0071,0.10985,0.00389,0.00083,2.05631,21.4349,1.63776,0.000461893,0.000461893,0.000461893
11,84.5032,2.39813,16.4001,1.51838,0.0071,0.10985,0.00389,0.00083,2.05631,21.4349,1.63776,0.000507035,0.000507035,0.000507035
12,92.8462,2.23998,16.2804,1.47696,0.06022,0.14114,0.07851,0.01556,2.13425,19.7056,1.69869,0.000551681,0.000551681,0.000551681
13,100.387,2.13682,14.803,1.40885,0.06022,0.14114,0.07851,0.01556,2.13425,19.7056,1.69869,0.000595832,0.000595832,0.000595832
14,108.11,2.34461,15.0784,1.56697,0.6371,0.14989,0.113,0.02898,2.32069,17.3674,1.79825,0.000639489,0.000639489,0.000639489
15,115.621,2.24713,14.5154,1.56213,0.6371,0.14989,0.113,0.02898,2.32069,17.3674,1.79825,0.00068265,0.00068265,0.00068265
16,124.668,2.35008,14.1568,1.42923,0.6371,0.14989,0.113,0.02898,2.32069,17.3674,1.79825,0.000725316,0.000725316,0.000725316
17,132.01,2.22334,13.1663,1.54235,0.70885,0.13676,0.14028,0.04074,2.43737,15.5031,1.77402,0.000767487,0.000767487,0.000767487
18,139.157,2.24317,12.5174,1.42689,0.70885,0.13676,0.14028,0.04074,2.43737,15.5031,1.77402,0.000809163,0.000809163,0.000809163
19,146.38,2.34078,13.1082,1.35704,0.70885,0.13676,0.14028,0.04074,2.43737,15.5031,1.77402,0.000850343,0.000850343,0.000850343
20,153.904,2.20594,12.3554,1.36731,0.75023,0.21554,0.2088,0.06086,2.43627,13.6031,1.65308,0.000891029,0.000891029,0.000891029
