epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3281,2.76821,11.3877,2.09994,0.00136,0.10109,0.00948,0.00278,2.17961,11.4755,1.61074,3.334e-05,3.334e-05,3.334e-05
2,32.7556,2.86591,11.1853,2.12652,0.00139,0.10109,0.02013,0.00598,2.10612,11.3843,1.5494,8.29374e-05,8.29374e-05,8.29374e-05
3,41.5104,2.85052,11.5896,1.78334,0.00141,0.10109,0.02015,0.00602,2.04785,11.2645,1.49061,0.00013204,0.00013204,0.00013204
4,48.5805,2.50564,11.1656,1.96581,0.00301,0.10438,0.02095,0.00422,1.99219,11.1028,1.42534,0.000180647,0.000180647,0.000180647
5,56.5379,2.7793,10.8912,1.74875,0.00301,0.10438,0.01772,0.00523,1.89797,11.0572,1.38655,0.000228759,0.000228759,0.000228759
6,64.1303,2.67772,10.4761,1.5321,0.00301,0.10438,0.01123,0.00321,1.8285,11.0107,1.36165,0.000276376,0.000276376,0.000276376
7,71.8109,2.32479,10.0853,1.72502,0.00249,0.10328,0.00734,0.00226,1.81822,11.0078,1.38339,0.000323498,0.000323498,0.000323498
8,77.2641,2.24137,9.54016,1.77344,0.00249,0.10328,0.02072,0.00834,1.8387,10.9667,1.44434,0.000370125,0.000370125,0.000370125
9,84.303,2.1192,8.74665,1.49112,0.00249,0.10328,0.02072,0.00834,1.8387,10.9667,1.44434,0.000416257,0.000416257,0.000416257
10,92.1844,2.13818,8.77552,1.54434,0.00302,0.10438,0.034,0.01354,1.9329,10.6682,1.53072,0.000461893,0.000461893,0.000461893
11,100.54,2.39808,8.22739,1.47477,0.00302,0.10438,0.034,0.01354,1.9329,10.6682,1.53072,0.000507035,0.000507035,0.000507035
12,109.134,2.18266,8.25391,1.41391,0.08919,0.31554,0.17147,0.05324,1.98994,9.72679,1.52816,0.000551681,0.000551681,0.000551681
13,116.707,2.10143,7.39635,1.35171,0.08919,0.31554,0.17147,0.05324,1.98994,9.72679,1.52816,0.000595832,0.000595832,0.000595832
14,125.587,2.3288,8.09909,1.53979,0.77566,0.19359,0.21589,0.08274,2.10326,8.15926,1.53309,0.000639489,0.000639489,0.000639489
15,134.408,2.36266,7.44514,1.55352,0.77566,0.19359,0.21589,0.08274,2.10326,8.15926,1.53309,0.00068265,0.00068265,0.00068265
16,143.9,2.30521,7.12202,1.36198,0.77566,0.19359,0.21589,0.08274,2.10326,8.15926,1.53309,0.000725316,0.000725316,0.000725316
17,151.659,2.23491,6.91436,1.53153,0.80238,0.21116,0.24252,0.10263,2.14784,6.4564,1.48151,0.000767487,0.000767487,0.000767487
18,159.365,2.30293,5.91498,1.3598,0.80238,0.21116,0.24252,0.10263,2.14784,6.4564,1.48151,0.000809163,0.000809163,0.000809163
19,168.002,2.25057,6.6765,1.31644,0.80238,0.21116,0.24252,0.10263,2.14784,6.4564,1.48151,0.000850343,0.000850343,0.000850343
20,175.911,2.17971,6.40887,1.33097,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.000891029,0.000891029,0.000891029
21,185.8,2.17636,5.89845,1.27582,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.00093122,0.00093122,0.00093122
22,194.771,2.28609,6.21675,1.3622,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.000970915,0.000970915,0.000970915
23,204.698,2.84765,6.59693,1.43257,0.82538,0.24945,0.26051,0.0966,2.23981,6.38805,1.51784,0.00101012,0.00101012,0.00101012
24,213.569,2.32411,6.51321,1.47543,0.80813,0.25653,0.25011,0.0863,2.3097,7.32988,1.52282,0.00104882,0.00104882,0.00104882
25,220.305,2.20847,5.25694,1.34245,0.80813,0.25653,0.25011,0.0863,2.3097,7.32988,1.52282,0.00108703,0.00108703,0.00108703
26,227.978,2.44366,6.01087,1.47588,0.80813,0.25653,0.25011,0.0863,2.3097,7.32988,1.52282,0.00112475,0.00112475,0.00112475
27,234.78,2.43108,5.99055,1.4069,0.80813,0.25653,0.25011,0.0863,2.3097,7.32988,1.52282,0.00116197,0.00116197,0.00116197
28,241.225,2.10387,5.64773,1.41075,0.80813,0.25653,0.25011,0.0863,2.3097,7.32988,1.52282,0.00119869,0.00119869,0.00119869
29,249.37,2.36855,6.57681,1.4918,0.79052,0.25187,0.26125,0.07904,2.43772,8.18421,1.56707,0.00123492,0.00123492,0.00123492
30,257.254,2.32644,6.06669,1.51674,0.79052,0.25187,0.26125,0.07904,2.43772,8.18421,1.56707,0.00127065,0.00127065,0.00127065
