epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7929,2.78439,9.11792,2.19468,0.1019,0.14989,0.11146,0.04872,1.98047,7.94682,1.59505,3.334e-05,3.334e-05,3.334e-05
2,30.5059,2.85757,8.0288,2.18727,0.25193,0.18709,0.21177,0.08616,1.97417,5.19678,1.57667,8.29374e-05,8.29374e-05,8.29374e-05
3,43.6199,2.76496,6.84827,1.73336,0.30254,0.25144,0.27704,0.1139,1.94857,5.82389,1.55525,0.00013204,0.00013204,0.00013204
4,56.5187,2.44244,5.84462,1.99331,0.29006,0.32495,0.33092,0.14045,1.8676,13.0157,1.50816,0.000180647,0.000180647,0.000180647
5,70.4884,2.55352,4.95961,1.66761,0.28358,0.41685,0.39283,0.17798,1.72784,18.2173,1.41955,0.000228759,0.000228759,0.000228759
6,84.2256,2.46153,4.61622,1.48349,0.25887,0.43107,0.39223,0.18116,1.71053,22.5018,1.39471,0.000276376,0.000276376,0.000276376
7,98.7301,2.20843,4.57899,1.73906,0.2628,0.38184,0.35561,0.16664,1.75681,21.5049,1.40058,0.000323498,0.000323498,0.000323498
8,111.312,2.18502,4.78839,1.80651,0.3028,0.34902,0.36691,0.15128,1.80473,19.4251,1.43446,0.000370125,0.000370125,0.000370125
9,125.453,2.05529,4.07687,1.51483,0.3028,0.34902,0.36691,0.15128,1.80473,19.4251,1.43446,0.000416257,0.000416257,0.000416257
10,142.041,2.04794,4.24067,1.60141,0.2969,0.38074,0.37255,0.14573,1.88191,22.1466,1.51069,0.000461893,0.000461893,0.000461893
11,159.052,2.47845,4.06476,1.55094,0.2969,0.38074,0.37255,0.14573,1.88191,22.1466,1.51069,0.000507035,0.000507035,0.000507035
12,176.21,2.10169,3.80175,1.43847,0.28681,0.33917,0.34838,0.15874,1.85586,15.7143,1.51316,0.000551681,0.000551681,0.000551681
13,191.787,1.95523,3.54238,1.37861,0.28681,0.33917,0.34838,0.15874,1.85586,15.7143,1.51316,0.000595832,0.000595832,0.000595832
14,208.09,2.23331,4.32499,1.60161,0.33706,0.33698,0.36918,0.17339,1.83632,10.3991,1.49977,0.000639489,0.000639489,0.000639489
15,223.274,2.19425,4.23297,1.58221,0.33706,0.33698,0.36918,0.17339,1.83632,10.3991,1.49977,0.00068265,0.00068265,0.00068265
16,239.73,2.13266,3.56097,1.35413,0.33706,0.33698,0.36918,0.17339,1.83632,10.3991,1.49977,0.000725316,0.000725316,0.000725316
17,254.468,2.05029,4.38063,1.55777,0.31968,0.30525,0.34121,0.1677,1.86636,9.11214,1.51022,0.000767487,0.000767487,0.000767487
18,268.926,2.17985,3.99355,1.40718,0.31968,0.30525,0.34121,0.1677,1.86636,9.11214,1.51022,0.000809163,0.000809163,0.000809163
19,284.327,2.09796,3.68556,1.31695,0.31968,0.30525,0.34121,0.1677,1.86636,9.11214,1.51022,0.000850343,0.000850343,0.000850343
20,299.01,2.06188,3.58735,1.38569,0.33106,0.2965,0.35521,0.17096,1.79827,6.24219,1.46116,0.000891029,0.000891029,0.000891029
21,315.668,1.99875,3.4796,1.315,0.33106,0.2965,0.35521,0.17096,1.79827,6.24219,1.46116,0.00093122,0.00093122,0.00093122
22,331.104,2.13063,3.89558,1.41896,0.33106,0.2965,0.35521,0.17096,1.79827,6.24219,1.46116,0.000970915,0.000970915,0.000970915
23,346.384,2.67227,4.07021,1.44079,0.33106,0.2965,0.35521,0.17096,1.79827,6.24219,1.46116,0.00101012,0.00101012,0.00101012
24,359.874,2.06,4.20567,1.53283,0.34024,0.32823,0.3636,0.16389,1.79631,7.84801,1.47784,0.00104882,0.00104882,0.00104882
25,372.102,1.92146,4.42965,1.40012,0.34024,0.32823,0.3636,0.16389,1.79631,7.84801,1.47784,0.00108703,0.00108703,0.00108703
26,385.446,2.12202,7.27686,1.56093,0.34024,0.32823,0.3636,0.16389,1.79631,7.84801,1.47784,0.00112475,0.00112475,0.00112475
