epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.4947,2.64149,22.8301,2.1218,0.00057,0.1,0.00052,0.00031,2.07123,22.688,1.50466,1.667e-05,1.667e-05,1.667e-05
2,18.7051,2.56373,22.2475,2.03112,0.00218,0.10219,0.00134,0.00056,2.01496,22.5331,1.46133,4.97625e-05,4.97625e-05,4.97625e-05
3,27.2797,2.49483,22.6039,1.94868,0.00301,0.10328,0.00177,0.00051,1.90682,22.3359,1.39946,8.25248e-05,8.25248e-05,8.25248e-05
4,35.419,3.08203,22.9411,2.05361,0.00425,0.00547,0.00247,0.00083,1.83573,22.048,1.33426,0.000114957,0.000114957,0.000114957
5,43.3391,2.25186,21.8024,1.69804,0.01241,0.01532,0.01229,0.00382,1.80391,21.7498,1.27961,0.000147059,0.000147059,0.000147059
6,51.7689,2.57671,22.1171,1.66278,0.0224,0.02735,0.02483,0.00872,1.791,21.3753,1.22519,0.000178832,0.000178832,0.000178832
7,60.4896,2.42649,21.6528,1.70272,0.03697,0.04814,0.04396,0.01728,1.80962,21.0377,1.19825,0.000210274,0.000210274,0.000210274
8,68.5228,1.9951,19.4716,1.48431,0.05137,0.17002,0.06754,0.0285,1.82003,20.7887,1.1824,0.000241386,0.000241386,0.000241386
9,77.2913,1.941,20.2785,1.46636,0.06227,0.18425,0.08641,0.03753,1.80034,20.7385,1.17181,0.000272168,0.000272168,0.000272168
10,86.9284,2.20996,20.4386,1.5436,0.07024,0.19847,0.09603,0.04263,1.76684,20.7594,1.17348,0.00030262,0.00030262,0.00030262
11,94.5233,2.18359,18.7285,1.4069,0.08506,0.22254,0.09416,0.04316,1.80705,20.6913,1.19975,0.000332742,0.000332742,0.000332742
12,104.304,2.27651,18.8477,1.37694,0.08506,0.22254,0.09416,0.04316,1.80705,20.6913,1.19975,0.000362533,0.000362533,0.000362533
13,113.708,1.96599,17.799,1.36322,0.08925,0.10175,0.07511,0.03392,1.87773,20.5803,1.25914,0.000391995,0.000391995,0.000391995
14,122.324,2.36598,18.5367,1.36156,0.07611,0.07112,0.05497,0.02688,1.86175,20.3403,1.26547,0.000421127,0.000421127,0.000421127
15,131.01,2.09613,18.0527,1.38376,0.07611,0.07112,0.05497,0.02688,1.86175,20.3403,1.26547,0.000449928,0.000449928,0.000449928
16,138.765,2.18557,16.5143,1.33943,0.08429,0.09628,0.08006,0.0367,1.83365,20.0909,1.26215,0.0004784,0.0004784,0.0004784
17,148.642,2.21066,15.6232,1.42073,0.15823,0.21882,0.21581,0.0879,1.84293,20.2087,1.30646,0.000506541,0.000506541,0.000506541
18,157.241,2.26786,16.7537,1.33473,0.15823,0.21882,0.21581,0.0879,1.84293,20.2087,1.30646,0.000534353,0.000534353,0.000534353
19,165.097,2.86909,16.1099,1.53313,0.19818,0.30963,0.28225,0.09793,1.87865,20.4145,1.36791,0.000561834,0.000561834,0.000561834
20,171.921,2.13094,13.5797,1.52317,0.19818,0.30963,0.28225,0.09793,1.87865,20.4145,1.36791,0.000588985,0.000588985,0.000588985
21,180.067,2.24698,15.9217,1.31932,0.20844,0.36214,0.31541,0.10912,1.92656,19.9137,1.38177,0.000615806,0.000615806,0.000615806
22,189.271,2.19836,17.1193,1.36183,0.20844,0.36214,0.31541,0.10912,1.92656,19.9137,1.38177,0.000642298,0.000642298,0.000642298
23,197.848,2.17637,15.4456,1.44752,0.22493,0.37309,0.34182,0.1462,2.02152,18.1336,1.33444,0.000668459,0.000668459,0.000668459
24,205.95,2.02424,13.91,1.35803,0.22493,0.37309,0.34182,0.1462,2.02152,18.1336,1.33444,0.00069429,0.00069429,0.00069429
25,215.705,2.91146,15.6854,1.94559,0.19643,0.37309,0.31353,0.1433,2.11603,16.9998,1.35202,0.000719791,0.000719791,0.000719791
26,225.419,2.16544,13.0418,1.38675,0.19643,0.37309,0.31353,0.1433,2.11603,16.9998,1.35202,0.000744961,0.000744961,0.000744961
27,233.063,2.79624,13.1799,1.38963,0.19643,0.37309,0.31353,0.1433,2.11603,16.9998,1.35202,0.000769802,0.000769802,0.000769802
28,243.072,2.07678,14.515,1.35634,0.15499,0.38731,0.24483,0.09149,2.22221,16.3413,1.45546,0.000794313,0.000794313,0.000794313
29,252.125,2.14425,10.9506,1.2434,0.15499,0.38731,0.24483,0.09149,2.22221,16.3413,1.45546,0.000818494,0.000818494,0.000818494
30,262.212,2.50335,12.8084,1.46999,0.73065,0.29431,0.22237,0.07088,2.13531,16.4355,1.45294,0.000842344,0.000842344,0.000842344
31,270.666,2.25977,14.2273,1.4946,0.73065,0.29431,0.22237,0.07088,2.13531,16.4355,1.45294,0.000865865,0.000865865,0.000865865
32,279.243,2.03777,13.2116,1.44098,0.73065,0.29431,0.22237,0.07088,2.13531,16.4355,1.45294,0.000889055,0.000889055,0.000889055
