epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.53302,2.63993,3.74404,2.09225,0.00281,0.00875,0.00147,0.00045,2.0701,3.33233,1.40415,0.0991,0.0001,0.0001
2,23.7151,2.53722,3.27224,1.99115,0.054,0.17724,0.05672,0.01365,2.20236,3.24111,1.62036,0.0972985,0.000298502,0.000298502
3,33.1075,2.9152,2.97856,1.83333,0.07467,0.24508,0.12771,0.03149,3.44791,2.65916,2.04941,0.095495,0.000495005,0.000495005
4,42.2007,2.27384,2.39631,1.73794,0.10633,0.34902,0.22785,0.0902,2.61257,2.37572,1.61716,0.0936895,0.000689511,0.000689511
5,51.5344,2.42257,1.81544,1.34291,0.11033,0.36214,0.2446,0.09378,2.34592,2.16956,1.6248,0.091882,0.000882018,0.000882018
6,61.6117,2.59478,1.74733,1.37893,0.17419,0.2878,0.21597,0.06515,2.40301,2.12788,1.76005,0.0900725,0.00107253,0.00107253
7,72.5644,2.32253,1.78306,1.62005,0.12623,0.19694,0.12118,0.03719,2.66465,2.55842,2.18293,0.088261,0.00126104,0.00126104
8,80.2465,2.13805,1.70353,1.60492,0.18375,0.24221,0.19894,0.0749,2.36346,2.56588,1.86101,0.0864476,0.00144755,0.00144755
9,89.1401,2.02761,1.55017,1.39354,0.19071,0.22648,0.18903,0.06973,2.27246,2.6744,1.7575,0.0846321,0.00163207,0.00163207
10,99.2273,1.99067,1.60874,1.49753,0.14313,0.19475,0.14106,0.05555,2.24005,3.59119,1.78955,0.0828146,0.00181459,0.00181459
11,108.843,2.31148,1.44795,1.44545,0.09397,0.10284,0.05966,0.01832,2.36124,9.81582,1.84605,0.0809951,0.00199511,0.00199511
12,117.733,2.03094,1.39984,1.3361,0.09397,0.10284,0.05966,0.01832,2.36124,9.81582,1.84605,0.0791736,0.00217363,0.00217363
13,126.165,2.07873,1.42421,1.34251,0.05918,0.11597,0.04604,0.01507,2.32641,16.4673,1.88567,0.0773502,0.00235015,0.00235015
14,135.975,2.34521,1.67973,1.53269,0.06727,0.19256,0.07464,0.02861,2.29428,18.3811,1.87923,0.0755247,0.00252468,0.00252468
15,145.433,2.13427,1.50554,1.5395,0.06727,0.19256,0.07464,0.02861,2.29428,18.3811,1.87923,0.0736972,0.0026972,0.0026972
16,155.705,2.19018,1.40313,1.32713,0.07478,0.19365,0.08066,0.03111,2.41319,17.7747,1.943,0.0718677,0.00286773,0.00286773
17,164.465,2.03615,1.71264,1.52709,0.09794,0.26368,0.12473,0.04838,2.44658,17.8919,2.05996,0.0700363,0.00303626,0.00303626
18,173.421,2.18779,1.4615,1.46584,0.09794,0.26368,0.12473,0.04838,2.44658,17.8919,2.05996,0.0682028,0.0032028,0.0032028
19,182.684,2.24983,1.45169,1.33648,0.12397,0.34245,0.19179,0.06796,2.44428,18.6717,2.10624,0.0663673,0.00336733,0.00336733
20,191.248,2.1966,1.40516,1.39805,0.12397,0.34245,0.19179,0.06796,2.44428,18.6717,2.10624,0.0645299,0.00352987,0.00352987
21,202.799,2.11434,1.29182,1.31462,0.14449,0.35449,0.21326,0.08145,2.17963,13.329,1.9084,0.0626904,0.00369041,0.00369041
22,212.29,2.35312,1.47365,1.46683,0.14449,0.35449,0.21326,0.08145,2.17963,13.329,1.9084,0.060849,0.00384895,0.00384895
23,222.452,3.07335,1.60338,1.62208,0.12653,0.34471,0.15506,0.06325,1.96885,12.2171,1.76303,0.0590055,0.0040055,0.0040055
24,232.225,2.12878,1.64131,1.52502,0.12653,0.34471,0.15506,0.06325,1.96885,12.2171,1.76303,0.05716,0.00416004,0.00416004
25,241.017,1.94476,1.50613,1.38217,0.13568,0.24398,0.14784,0.05908,2.01017,12.0507,1.90233,0.0553126,0.00431259,0.00431259
