epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17159,2.91352,3.74657,1.905,0.04267,0.14004,0.03144,0.00846,2.6379,3.40594,1.31427,0.0982,0.0002,0.0002
2,5.78161,2.58893,3.18383,1.55335,0.03567,0.11707,0.02898,0.00714,2.99231,3.08384,1.37926,0.0954975,0.000497502,0.000497502
3,8.06426,2.56277,2.87062,1.42898,0.04433,0.14551,0.03553,0.01021,3.15618,2.94151,1.44492,0.092792,0.000792008,0.000792008
4,10.5964,3.03504,2.58614,1.46371,0.05133,0.16849,0.0505,0.01404,2.57157,2.93637,1.40819,0.0900835,0.00108352,0.00108352
5,13.0985,2.53957,2.30536,1.3933,0.003,0.00985,0.00171,0.00037,2.59132,2.86615,1.55227,0.087372,0.00137203,0.00137203
6,15.657,2.75848,1.98281,1.25506,0,0,0,0,2.76497,2.73843,1.67774,0.0846575,0.00165754,0.00165754
7,18.4321,2.94218,1.94275,1.36794,0.004,0.01313,0.00214,0.00044,3.36129,2.67607,2.08375,0.0819401,0.00194006,0.00194006
8,21.0467,2.67846,1.9919,1.39178,0.12412,0.15864,0.11104,0.02895,2.51738,2.09649,1.40589,0.0792196,0.00221958,0.00221958
9,23.6259,2.46234,1.58529,1.35572,0.12412,0.15864,0.11104,0.02895,2.51738,2.09649,1.40589,0.0764961,0.0024961,0.0024961
10,26.1344,2.54752,1.63019,1.40061,0.1303,0.10722,0.07538,0.01758,2.66914,2.00726,1.74291,0.0737696,0.00276963,0.00276963
11,28.5348,2.97518,1.63734,1.49598,0.1303,0.10722,0.07538,0.01758,2.66914,2.00726,1.74291,0.0710402,0.00304016,0.00304016
12,31.3153,2.76145,1.62399,1.37306,0.102,0.33479,0.12244,0.03985,2.25399,1.77673,1.41962,0.0683077,0.00330769,0.00330769
13,33.9896,2.44428,1.53297,1.27063,0.102,0.33479,0.12244,0.03985,2.25399,1.77673,1.41962,0.0655722,0.00357223,0.00357223
14,36.7063,2.82524,1.62119,1.32321,0.14567,0.26586,0.1802,0.05721,2.53565,1.9406,1.54734,0.0628338,0.00383377,0.00383377
15,39.4136,2.57545,1.48959,1.30018,0.14567,0.26586,0.1802,0.05721,2.53565,1.9406,1.54734,0.0600923,0.00409231,0.00409231
16,41.8167,2.71227,1.69969,1.28095,0.14567,0.26586,0.1802,0.05721,2.53565,1.9406,1.54734,0.0573479,0.00434785,0.00434785
17,44.4867,2.57809,1.83051,1.36628,0.16545,0.25274,0.18234,0.06499,2.32345,2.1683,1.41644,0.0546004,0.0046004,0.0046004
18,47.2291,2.68749,1.62895,1.2732,0.16545,0.25274,0.18234,0.06499,2.32345,2.1683,1.41644,0.05185,0.00484995,0.00484995
19,49.6079,2.87456,2.61858,1.41624,0.16545,0.25274,0.18234,0.06499,2.32345,2.1683,1.41644,0.0490965,0.0050965,0.0050965
20,51.9048,2.40547,2.27349,1.51554,0.20146,0.26805,0.2309,0.07954,2.4234,2.49935,1.46914,0.0463401,0.00534006,0.00534006
21,54.519,2.81449,1.66683,1.38702,0.20146,0.26805,0.2309,0.07954,2.4234,2.49935,1.46914,0.0435806,0.00558062,0.00558062
22,57.4571,2.92614,1.53094,1.38002,0.20146,0.26805,0.2309,0.07954,2.4234,2.49935,1.46914,0.0408182,0.00581818,0.00581818
23,60.294,2.7822,1.74474,1.44742,0.20146,0.26805,0.2309,0.07954,2.4234,2.49935,1.46914,0.0380527,0.00605275,0.00605275
24,62.6528,2.50764,1.58079,1.41921,0.20357,0.18709,0.16685,0.0664,2.39872,2.31913,1.48245,0.0352843,0.00628432,0.00628432
25,65.1542,2.69719,2.3078,1.63099,0.20357,0.18709,0.16685,0.0664,2.39872,2.31913,1.48245,0.0325129,0.00651289,0.00651289
26,67.8106,2.40784,1.57897,1.33865,0.20357,0.18709,0.16685,0.0664,2.39872,2.31913,1.48245,0.0297385,0.00673846,0.00673846
27,70.108,2.89821,2.47436,1.33754,0.20357,0.18709,0.16685,0.0664,2.39872,2.31913,1.48245,0.026961,0.00696104,0.00696104
28,72.7535,2.54594,1.5036,1.29036,0.20357,0.18709,0.16685,0.0664,2.39872,2.31913,1.48245,0.0241806,0.00718062,0.00718062
29,75.4301,2.39327,1.53898,1.21523,0.15326,0.16411,0.11812,0.05026,2.46374,2.28342,1.62457,0.0213972,0.0073972,0.0073972
30,77.885,2.76203,1.69273,1.36785,0.15326,0.16411,0.11812,0.05026,2.46374,2.28342,1.62457,0.0186108,0.00761079,0.00761079
31,80.1569,2.47945,1.49424,1.26811,0.15326,0.16411,0.11812,0.05026,2.46374,2.28342,1.62457,0.0158214,0.00782138,0.00782138
32,82.6002,2.24386,1.51412,1.33475,0.15326,0.16411,0.11812,0.05026,2.46374,2.28342,1.62457,0.013029,0.00802897,0.00802897
33,85.051,2.41025,1.50526,1.25999,0.15326,0.16411,0.11812,0.05026,2.46374,2.28342,1.62457,0.0102336,0.00823357,0.00823357
34,87.6751,2.54368,1.4709,1.17403,0.29879,0.18359,0.22392,0.09312,2.40231,2.8928,1.60526,0.00835165,0.00835165,0.00835165
35,90.2174,2.47355,1.42168,1.27708,0.29879,0.18359,0.22392,0.09312,2.40231,2.8928,1.60526,0.0083017,0.0083017,0.0083017
36,92.8567,2.35888,1.49997,1.30657,0.29879,0.18359,0.22392,0.09312,2.40231,2.8928,1.60526,0.00825175,0.00825175,0.00825175
37,95.3369,3.18578,1.65589,1.27995,0.29879,0.18359,0.22392,0.09312,2.40231,2.8928,1.60526,0.0082018,0.0082018,0.0082018
38,97.5849,2.85149,1.68858,1.27281,0.29879,0.18359,0.22392,0.09312,2.40231,2.8928,1.60526,0.00815185,0.00815185,0.00815185
39,99.9837,2.25621,1.47878,1.28576,0.29879,0.18359,0.22392,0.09312,2.40231,2.8928,1.60526,0.0081019,0.0081019,0.0081019
40,102.474,2.50116,1.48483,1.26404,0.24877,0.24617,0.23827,0.0893,2.33946,3.1011,1.53237,0.00805195,0.00805195,0.00805195
41,104.878,2.25897,1.44567,1.2694,0.24877,0.24617,0.23827,0.0893,2.33946,3.1011,1.53237,0.008002,0.008002,0.008002
42,107.265,2.43588,1.43915,1.24793,0.24877,0.24617,0.23827,0.0893,2.33946,3.1011,1.53237,0.00795205,0.00795205,0.00795205
