epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3085,3.14145,23.7137,2.02801,0.00046,0.1,0.0004,0.00015,2.32403,23.4491,1.35792,3.334e-05,3.334e-05,3.334e-05
2,7.33469,3.17743,23.255,2.16552,0.00263,0.10219,0.00152,0.00039,2.27699,23.3393,1.31826,8.25248e-05,8.25248e-05,8.25248e-05
3,10.2715,3.49605,23.5019,1.92698,0.00881,0.10985,0.00471,0.00159,2.27079,23.1892,1.2907,0.000130719,0.000130719,0.000130719
4,12.8799,2.97228,22.8894,1.92155,0.02831,0.24048,0.01567,0.00521,2.21282,22.8863,1.23409,0.000177924,0.000177924,0.000177924
5,15.7869,3.55936,22.2501,1.81177,0.05913,0.21816,0.03861,0.01362,2.12279,22.6269,1.18793,0.000224138,0.000224138,0.000224138
6,18.6952,3.36475,21.2826,1.60427,0.07226,0.17615,0.05597,0.02246,2.04352,22.3232,1.15305,0.000269362,0.000269362,0.000269362
7,21.5757,2.74417,21.095,1.67221,0.07877,0.20131,0.06668,0.02652,2.01101,22.0383,1.14147,0.000313596,0.000313596,0.000313596
8,23.9578,2.5434,20.6657,1.62763,0.08283,0.20897,0.06724,0.02589,1.98779,21.5719,1.13682,0.00035684,0.00035684,0.00035684
9,26.5167,2.47675,18.9725,1.4573,0.08283,0.20897,0.06724,0.02589,1.98779,21.5719,1.13682,0.000399093,0.000399093,0.000399093
10,29.3531,2.40498,19.4194,1.43665,0.07309,0.17834,0.06986,0.02798,2.05847,20.6199,1.16206,0.000440356,0.000440356,0.000440356
11,32.3267,2.74732,17.6382,1.34446,0.07309,0.17834,0.06986,0.02798,2.05847,20.6199,1.16206,0.000480629,0.000480629,0.000480629
12,35.2424,2.69876,17.9878,1.38476,0.09218,0.25274,0.12412,0.04827,2.17434,18.7063,1.20171,0.000519912,0.000519912,0.000519912
13,38.002,2.60278,16.6176,1.30773,0.09218,0.25274,0.12412,0.04827,2.17434,18.7063,1.20171,0.000558205,0.000558205,0.000558205
14,41.2365,2.71916,16.9201,1.4452,0.63445,0.17834,0.11401,0.0391,2.45139,16.203,1.2906,0.000595507,0.000595507,0.000595507
15,43.8021,2.62706,16.8253,1.43278,0.63445,0.17834,0.11401,0.0391,2.45139,16.203,1.2906,0.00063182,0.00063182,0.00063182
16,47.1562,2.91026,15.9123,1.32902,0.63445,0.17834,0.11401,0.0391,2.45139,16.203,1.2906,0.000667142,0.000667142,0.000667142
17,49.7597,2.50297,15.965,1.43585,0.65744,0.15864,0.12534,0.04158,2.70078,15.2285,1.37982,0.000701474,0.000701474,0.000701474
18,52.4006,2.64771,14.5941,1.31399,0.65744,0.15864,0.12534,0.04158,2.70078,15.2285,1.37982,0.000734815,0.000734815,0.000734815
19,55.2529,2.8814,14.6667,1.28044,0.65744,0.15864,0.12534,0.04158,2.70078,15.2285,1.37982,0.000767167,0.000767167,0.000767167
20,57.8507,2.55912,14.5809,1.25873,0.71533,0.16083,0.17071,0.05496,2.96502,12.9753,1.4438,0.000798528,0.000798528,0.000798528
21,61.0145,2.77019,13.1521,1.23284,0.71533,0.16083,0.17071,0.05496,2.96502,12.9753,1.4438,0.000828899,0.000828899,0.000828899
22,63.9814,2.74299,13.7867,1.30066,0.71533,0.16083,0.17071,0.05496,2.96502,12.9753,1.4438,0.00085828,0.00085828,0.00085828
23,67.0432,3.49254,14.3576,1.38512,0.71533,0.16083,0.17071,0.05496,2.96502,12.9753,1.4438,0.000886671,0.000886671,0.000886671
24,70.1211,2.62729,15.0449,1.41378,0.79101,0.19037,0.18449,0.05756,2.74987,12.2398,1.35002,0.000914071,0.000914071,0.000914071
25,72.5731,2.5284,14.3719,1.29428,0.79101,0.19037,0.18449,0.05756,2.74987,12.2398,1.35002,0.000940481,0.000940481,0.000940481
26,75.057,2.62124,12.24,1.35231,0.79101,0.19037,0.18449,0.05756,2.74987,12.2398,1.35002,0.000965901,0.000965901,0.000965901
27,77.3553,2.93749,13.8029,1.32887,0.79101,0.19037,0.18449,0.05756,2.74987,12.2398,1.35002,0.000990331,0.000990331,0.000990331
28,79.4616,2.33166,13.671,1.39234,0.79101,0.19037,0.18449,0.05756,2.74987,12.2398,1.35002,0.00101377,0.00101377,0.00101377
