epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81814,2.80452,23.0175,2.10192,0.00135,0.10109,0.00635,0.00184,2.18359,22.9122,1.60695,3.334e-05,3.334e-05,3.334e-05
2,17.9806,2.90186,22.303,2.21888,0.00138,0.10109,0.00812,0.00238,2.10954,22.6377,1.53175,8.27999e-05,8.27999e-05,8.27999e-05
3,25.1637,2.89995,22.9751,1.83982,0.00141,0.10109,0.01458,0.00431,2.03571,22.4127,1.47147,0.0001316,0.0001316,0.0001316
4,32.3379,2.54837,22.1028,1.98623,0.00195,0.10219,0.01176,0.00347,1.98333,22.1036,1.40914,0.000179739,0.000179739,0.000179739
5,39.9196,2.82067,21.5214,1.76637,0.00251,0.10328,0.00333,0.00085,1.86327,22.0663,1.36567,0.000227219,0.000227219,0.000227219
6,47.4092,2.7091,20.429,1.5533,0.00074,0.1,0.00454,0.00182,1.80345,22.0345,1.3486,0.000274038,0.000274038,0.000274038
7,55.2976,2.32246,19.4602,1.71825,0.00133,0.10109,0.00711,0.00229,1.79351,22.1434,1.38901,0.000320197,0.000320197,0.000320197
8,61.0137,2.18415,19.0944,1.78742,0.00134,0.10109,0.09894,0.01008,1.8647,22.0438,1.47148,0.000365696,0.000365696,0.000365696
9,68.6426,2.14402,17.1543,1.5055,0.00134,0.10109,0.09894,0.01008,1.8647,22.0438,1.47148,0.000410535,0.000410535,0.000410535
10,76.5822,2.10905,17.7774,1.61189,0.00702,0.10985,0.00399,0.00084,2.04128,21.4433,1.62583,0.000454714,0.000454714,0.000454714
11,84.5514,2.39855,16.4498,1.51716,0.00702,0.10985,0.00399,0.00084,2.04128,21.4433,1.62583,0.000498233,0.000498233,0.000498233
12,92.8268,2.24425,16.3254,1.47704,0.06203,0.14442,0.08014,0.01605,2.12219,19.7569,1.68861,0.000541092,0.000541092,0.000541092
13,100.367,2.139,14.8568,1.41075,0.06203,0.14442,0.08014,0.01605,2.12219,19.7569,1.68861,0.00058329,0.00058329,0.00058329
14,107.905,2.34136,15.1149,1.56798,0.59928,0.19365,0.11324,0.02858,2.30575,17.4643,1.79,0.000624828,0.000624828,0.000624828
15,115.328,2.24862,14.5653,1.5647,0.59928,0.19365,0.11324,0.02858,2.30575,17.4643,1.79,0.000665706,0.000665706,0.000665706
16,124.574,2.35364,14.2225,1.43149,0.59928,0.19365,0.11324,0.02858,2.30575,17.4643,1.79,0.000705924,0.000705924,0.000705924
