epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97619,2.09816,3.34816,1.9505,0,0,0,0,2.02229,3.88002,1.73503,0.1,0,0
2,11.6267,1.66129,3.25428,1.64811,0,0,0,0,2.21494,3.79813,1.86598,0.0990099,9.901e-06,9.901e-06
3,17.3251,1.75204,3.13611,1.6157,0.00167,0.005,0.00085,8e-05,2.14166,3.68117,1.7874,0.0980196,1.9604e-05,1.9604e-05
4,23.3126,1.65843,2.80533,1.48157,0.00167,0.005,0.00085,0.00026,2.10507,3.58682,1.72926,0.0970291,2.9109e-05,2.9109e-05
5,30.0596,1.4871,2.66052,1.4124,0.00333,0.01,0.00172,0.00077,2.02871,3.45015,1.63493,0.0960384,3.8416e-05,3.8416e-05
6,36.2723,1.62602,2.30661,1.51861,0,0,0,0,2.00665,3.35317,1.58486,0.0950475,4.7525e-05,4.7525e-05
7,42.3412,1.57612,2.14485,1.35958,0,0,0,0,2.03127,3.31589,1.57272,0.0940564,5.6436e-05,5.6436e-05
8,48.994,1.46408,2.35748,1.24123,0.00167,0.005,0.00084,8e-05,2.01093,3.23673,1.49711,0.0930651,6.5149e-05,6.5149e-05
9,56.1621,1.53299,2.31656,1.35089,0.00167,0.005,0.00084,8e-05,2.01093,3.23673,1.49711,0.0920737,7.3664e-05,7.3664e-05
10,62.1383,1.47373,1.9261,1.30303,0,0,0,0,1.97948,3.18506,1.46015,0.091082,8.1981e-05,8.1981e-05
11,69.3694,1.66067,2.00944,1.31478,0,0,0,0,1.97948,3.18506,1.46015,0.0900901,9.01e-05,9.01e-05
12,75.2796,1.53357,1.96727,1.403,0,0,0,0,2.02314,3.21441,1.50529,0.089098,9.8021e-05,9.8021e-05
13,81.2544,1.40633,1.88424,1.21165,0,0,0,0,2.02314,3.21441,1.50529,0.0881057,0.000105744,0.000105744
14,87.5523,1.44804,1.87958,1.26191,0.00167,0.005,0.00084,0.00068,2.06503,3.20458,1.52506,0.0871133,0.000113269,0.000113269
15,93.48,1.48171,1.76385,1.31159,0.00167,0.005,0.00084,0.00068,2.06503,3.20458,1.52506,0.0861206,0.000120596,0.000120596
16,99.6102,1.47324,1.79094,1.30374,0.00167,0.005,0.00085,0.00059,2.11137,3.25332,1.5824,0.0851277,0.000127725,0.000127725
17,105.275,1.35209,1.80169,1.25634,0.00167,0.005,0.00085,0.00059,2.11137,3.25332,1.5824,0.0841347,0.000134656,0.000134656
18,111.937,1.46163,1.85695,1.27338,0.005,0.015,0.0026,0.00095,2.11578,3.30325,1.61275,0.0831414,0.000141389,0.000141389
19,118.483,1.3556,1.75034,1.21408,0.005,0.015,0.0026,0.00095,2.11578,3.30325,1.61275,0.0821479,0.000147924,0.000147924
20,125.115,1.43986,1.68965,1.17803,0.005,0.015,0.00265,0.00105,2.11405,3.35319,1.63372,0.0811543,0.000154261,0.000154261
21,130.896,1.31358,1.6196,1.29221,0.005,0.015,0.00265,0.00105,2.11405,3.35319,1.63372,0.0801604,0.0001604,0.0001604
22,136.548,1.41078,1.82062,1.25621,0.00333,0.01,0.00172,0.0006,2.14377,3.43874,1.69658,0.0791663,0.000166341,0.000166341
23,142.437,1.35887,1.5524,1.20189,0.00333,0.01,0.00172,0.0006,2.14377,3.43874,1.69658,0.0781721,0.000172084,0.000172084
24,148.41,1.28648,1.48414,1.221,0.00333,0.01,0.00172,0.0006,2.14377,3.43874,1.69658,0.0771776,0.000177629,0.000177629
25,154.394,1.37042,1.66596,1.30547,0.00167,0.005,0.00087,0.00043,2.21541,3.51673,1.79832,0.076183,0.000182976,0.000182976
26,160.316,1.23203,1.42645,1.17298,0.00167,0.005,0.00087,0.00043,2.21541,3.51673,1.79832,0.0751881,0.000188125,0.000188125
27,166.136,1.32693,1.41337,1.19256,0.00167,0.005,0.00087,0.00043,2.21541,3.51673,1.79832,0.0741931,0.000193076,0.000193076
28,171.354,1.24036,1.73017,1.23186,0.005,0.015,0.00263,0.00061,2.24218,3.58209,1.85479,0.0731978,0.000197829,0.000197829
29,176.606,1.4298,2.1233,1.38712,0.005,0.015,0.00263,0.00061,2.24218,3.58209,1.85479,0.0722024,0.000202384,0.000202384
30,182.505,1.22718,1.36447,1.21631,0.005,0.015,0.00263,0.00061,2.24218,3.58209,1.85479,0.0712067,0.000206741,0.000206741
31,188.286,1.30832,1.46587,1.30564,0.00167,0.005,0.00089,0.00053,2.28936,3.63156,1.90372,0.0702109,0.0002109,0.0002109
32,194.633,1.29142,1.36417,1.19975,0.00167,0.005,0.00089,0.00053,2.28936,3.63156,1.90372,0.0692149,0.000214861,0.000214861
33,200.701,1.39076,1.45041,1.22657,0.00167,0.005,0.00089,0.00053,2.28936,3.63156,1.90372,0.0682186,0.000218624,0.000218624
34,207.494,1.44207,1.69607,1.23426,0.00167,0.005,0.00088,0.00044,2.25095,3.617,1.86177,0.0672222,0.000222189,0.000222189
35,213.993,1.3994,1.50486,1.21181,0.00167,0.005,0.00088,0.00044,2.25095,3.617,1.86177,0.0662256,0.000225556,0.000225556
36,220.295,1.31083,1.42858,1.16661,0.00167,0.005,0.00088,0.00044,2.25095,3.617,1.86177,0.0652287,0.000228725,0.000228725
37,226.331,1.26145,1.27484,1.17297,0.00167,0.005,0.00088,0.00044,2.25095,3.617,1.86177,0.0642317,0.000231696,0.000231696
38,232.469,1.31482,1.42482,1.16541,0.00167,0.005,0.00088,0.00044,2.17024,3.5356,1.75975,0.0632345,0.000234469,0.000234469
39,238.161,1.20613,1.30487,1.15875,0.00167,0.005,0.00088,0.00044,2.17024,3.5356,1.75975,0.062237,0.000237044,0.000237044
40,244.556,1.43253,1.73289,1.19339,0.00167,0.005,0.00088,0.00044,2.17024,3.5356,1.75975,0.0612394,0.000239421,0.000239421
