epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14235,3.0872,3.91219,2.03794,0.03314,0.04923,0.01831,0.00712,2.12798,3.86501,1.25054,3.334e-05,3.334e-05,3.334e-05
2,6.4169,3.1561,3.8401,2.18081,0.0399,0.05361,0.02219,0.00997,2.05497,3.83373,1.19251,8.25248e-05,8.25248e-05,8.25248e-05
3,8.85681,3.57244,3.9895,2.00739,0.05111,0.07549,0.02986,0.01288,2.00339,3.80597,1.15257,0.000130719,0.000130719,0.000130719
4,11.3472,2.91656,3.86386,1.89502,0.06258,0.10722,0.03878,0.01804,2.01266,3.76,1.12159,0.000177924,0.000177924,0.000177924
5,13.7306,3.50045,3.89297,1.76743,0.05684,0.10722,0.03495,0.01604,1.9983,3.7459,1.11761,0.000224138,0.000224138,0.000224138
6,16.3727,3.27702,3.84252,1.53879,0.04246,0.17549,0.02505,0.01073,2.03263,3.73857,1.12455,0.000269362,0.000269362,0.000269362
7,19.2105,2.64251,3.77927,1.62748,0.03378,0.1547,0.02069,0.00523,2.10442,3.78235,1.16794,0.000313596,0.000313596,0.000313596
8,21.4872,2.46742,3.75692,1.61571,0.0399,0.16674,0.02607,0.00573,2.10619,3.79047,1.17707,0.00035684,0.00035684,0.00035684
9,24.099,2.43788,3.64884,1.40979,0.0399,0.16674,0.02607,0.00573,2.10619,3.79047,1.17707,0.000399093,0.000399093,0.000399093
10,26.7745,2.43,3.67239,1.45205,0.02902,0.04814,0.01626,0.00561,2.02771,3.75651,1.13364,0.000440356,0.000440356,0.000440356
11,29.4336,2.69616,3.61742,1.31194,0.02902,0.04814,0.01626,0.00561,2.02771,3.75651,1.13364,0.000480629,0.000480629,0.000480629
12,32.1912,2.62439,3.62893,1.35079,0.03399,0.15361,0.01997,0.00475,1.98625,3.71738,1.12031,0.000519912,0.000519912,0.000519912
13,34.8284,2.50388,3.48412,1.2743,0.03399,0.15361,0.01997,0.00475,1.98625,3.71738,1.12031,0.000558205,0.000558205,0.000558205
14,37.478,2.65739,3.46754,1.41265,0.02611,0.14376,0.01601,0.00398,2.01199,3.59598,1.10882,0.000595507,0.000595507,0.000595507
15,40.1365,2.49633,3.4502,1.38098,0.02611,0.14376,0.01601,0.00398,2.01199,3.59598,1.10882,0.00063182,0.00063182,0.00063182
16,43.0865,2.86198,3.45737,1.30388,0.02611,0.14376,0.01601,0.00398,2.01199,3.59598,1.10882,0.000667142,0.000667142,0.000667142
17,45.7276,2.3552,3.33355,1.35166,0.05412,0.10066,0.04203,0.01661,1.9907,3.50942,1.11671,0.000701474,0.000701474,0.000701474
18,48.6146,2.56727,3.27929,1.25965,0.05412,0.10066,0.04203,0.01661,1.9907,3.50942,1.11671,0.000734815,0.000734815,0.000734815
19,51.5391,2.685,3.3015,1.22014,0.05412,0.10066,0.04203,0.01661,1.9907,3.50942,1.11671,0.000767167,0.000767167,0.000767167
20,54.5885,2.48153,3.26412,1.21948,0.11255,0.30416,0.21301,0.095,1.9721,3.23469,1.08888,0.000798528,0.000798528,0.000798528
21,58.1085,2.57756,3.06634,1.15277,0.11255,0.30416,0.21301,0.095,1.9721,3.23469,1.08888,0.000828899,0.000828899,0.000828899
22,61.373,2.65237,3.1291,1.23123,0.11255,0.30416,0.21301,0.095,1.9721,3.23469,1.08888,0.00085828,0.00085828,0.00085828
23,64.7471,3.31996,3.20111,1.29653,0.11255,0.30416,0.21301,0.095,1.9721,3.23469,1.08888,0.000886671,0.000886671,0.000886671
24,68.0472,2.47179,3.17883,1.32502,0.12347,0.37418,0.28508,0.11406,2.07759,2.89542,1.08266,0.000914071,0.000914071,0.000914071
25,70.8366,2.41022,3.07844,1.2473,0.12347,0.37418,0.28508,0.11406,2.07759,2.89542,1.08266,0.000940481,0.000940481,0.000940481
26,73.7972,2.52813,2.86942,1.28492,0.12347,0.37418,0.28508,0.11406,2.07759,2.89542,1.08266,0.000965901,0.000965901,0.000965901
27,76.4714,2.7534,3.04775,1.24465,0.12347,0.37418,0.28508,0.11406,2.07759,2.89542,1.08266,0.000990331,0.000990331,0.000990331
28,78.9254,2.20828,2.91708,1.29345,0.12347,0.37418,0.28508,0.11406,2.07759,2.89542,1.08266,0.00101377,0.00101377,0.00101377
29,82.2118,2.53807,3.16632,1.34685,0.73639,0.13567,0.145,0.03856,2.22527,2.90181,1.18028,0.00103622,0.00103622,0.00103622
30,85.212,2.41408,2.8784,1.28417,0.73639,0.13567,0.145,0.03856,2.22527,2.90181,1.18028,0.00105768,0.00105768,0.00105768
31,87.8964,2.22514,3.01293,1.35602,0.73639,0.13567,0.145,0.03856,2.22527,2.90181,1.18028,0.00107815,0.00107815,0.00107815
32,90.7384,2.29353,2.98919,1.31327,0.73639,0.13567,0.145,0.03856,2.22527,2.90181,1.18028,0.00109763,0.00109763,0.00109763
